"Date","station_name","pm25_value","measurement_quality","Latitude","Longitude","Altitude..m."
"2014-01-02","Leamington Spa Rugby Road",5,"V",52.294884,-1.542911,66
"2014-01-02","Leeds Centre",6,"V",53.80378,-1.546472,78
"2014-01-02","Leeds Headingley Kerbside",6,"V",53.819972,-1.576361,85
"2014-01-02","Leicester University",6,"V",52.619823,-1.127311,83
"2014-01-02","Liverpool Speke",6,"V",53.34633,-2.844333,26
"2014-01-02","London Bloomsbury",6,"V",51.52229,-0.125889,20
"2014-01-02","London Eltham",6,"V",51.45258,0.070766,60
"2014-01-02","London Harlington",6,"V",51.48879,-0.441614,35
"2014-01-02","London Harrow Stanmore",6,"V",51.617333,-0.298777,79
"2014-01-02","London Marylebone Road",10,"V",51.52253,-0.154611,35
"2014-01-02","London N. Kensington",6,"V",51.52105,-0.213492,5
"2014-01-02","Manchester Piccadilly",4,"V",53.48152,-2.237881,57
"2014-01-02","Middlesbrough",5,"V",54.569297,-1.220874,10
"2014-01-02","Newcastle Centre",4,"V",54.97825,-1.610528,45
"2014-01-02","Newport",6,"V",51.601203,-2.977281,24
"2014-01-02","Norwich Lakenfields",5,"V",52.614193,1.301976,36
"2014-01-02","Nottingham Centre",3,"V",52.95473,-1.146447,41
"2014-01-02","Oxford St Ebbes",8,"V",51.744806,-1.260278,58
"2014-01-02","Port Talbot Margam",15,"V",51.58395,-3.770822,5
"2014-01-02","Portsmouth",9,"V",50.82881,-1.068583,5
"2014-01-02","Preston",5,"V",53.76559,-2.680353,40
"2014-01-02","Reading New Town",1,"V",51.45309,-0.944067,58
"2014-01-02","Salford Eccles",9,"V",53.48481,-2.334139,30
"2014-01-02","Saltash Callington Road",6,"V",50.411463,-4.227678,65
"2014-01-02","Sandy Roadside",6,"V",52.132417,-0.300306,22
"2014-01-02","Sheffield Devonshire Green",4,"V",53.378622,-1.478096,89
"2014-01-02","Southampton Centre",8,"V",50.90814,-1.395778,7
"2014-01-02","Southend-on-Sea",4,"V",51.544206,0.678408,37
"2014-01-02","Stanford-le-Hope Roadside",8,"V",51.518167,0.439548,18
"2014-01-02","Stockton-on-Tees Eaglescliffe",4,"V",54.516667,-1.358547,29
